Date	Open	High	Low	Close*	Adj Close**	Volume
17-Oct-16	"18,135.85"	"18,162.28"	"18,063.02"	"18,086.40"	"18,086.40"	"759,600"
14-Oct-16	"18,177.35"	"18,261.11"	"18,138.38"	"18,138.38"	"18,138.38"	"870,500"
13-Oct-16	"18,088.32"	"18,137.70"	"17,959.95"	"18,098.94"	"18,098.94"	"831,600"
12-Oct-16	"18,132.63"	"18,193.96"	"18,082.09"	"18,144.20"	"18,144.20"	"722,300"
11-Oct-16	"18,308.43"	"18,312.33"	"18,061.96"	"18,128.66"	"18,128.66"	"886,100"
10-Oct-16	"18,282.95"	"18,399.96"	"18,282.95"	"18,329.04"	"18,329.04"	"721,100"
7-Oct-16	"18,295.35"	"18,319.73"	"18,149.35"	"18,240.49"	"18,240.49"	"826,800"
6-Oct-16	"18,280.42"	"18,288.12"	"18,162.97"	"18,268.50"	"18,268.50"	"786,600"
5-Oct-16	"18,205.50"	"18,315.82"	"18,205.50"	"18,281.03"	"18,281.03"	"761,900"
4-Oct-16	"18,267.68"	"18,313.77"	"18,116.26"	"18,168.45"	"18,168.45"	"797,100"
3-Oct-16	"18,279.60"	"18,279.80"	"18,203.75"	"18,253.85"	"18,253.85"	"685,200"
30-Sep-16	"18,181.80"	"18,369.62"	"18,181.80"	"18,308.15"	"18,308.15"	"1,354,700"
